# name,description,method,source
curl,Command-line HTTP client,system,
brew,Homebrew package manager,curl,https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh
amp-cli,Amp CLI,curl,https://ampcode.com/install.sh
visual-studio-code,Visual Studio Code,brew,
vscode-amp,Amp for VS Code,vscode_extensions,sourcegraph.amp
vscode-mise,mise VS Code,vscode_extensions,hverlin.mise-vscode
vscode-java,Java extensions for VS Code,vscode_extensions,vscjava.vscode-java-pack
vscode-redhat-java,Red Hat Java extensions for VS Code,vscode_extensions,redhat.java
vscode-python,Python extension for VS Code,vscode_extensions,ms-python.python
vscode-pylance,Pylance extension for VS Code,vscode_extensions,ms-python.vscode-pylance
vscode-debugpy,Python debugger extension for VS Code,vscode_extensions,ms-python.debugpy
git,Git version control,brew,
ghostty,Cross-platform terminal emulator,brew,
jetbrains-toolbox,JetBrains Toolbox,brew,
jq,JSON processor,brew,
mise,mise-en-place,brew,
python,Python Programming Language,brew,
temurin,Eclipse Temurin JDK,brew,
tmux,Terminal Multiplexer,brew,
tree,Directory tree viewer,brew,
yq,YAML processor,brew,
